topic_id,topic
1,January 6th attack investigation
2,Nancy Pelosi’s Taiwan visit
3,Rising Inflation
4,Race to Replace UK Prime Minister Boris Johnson
5,Musk-Twitter 44-Billion Deal
6,Stock Market Volatility
7,First Images from the James Webb Telescope
8,2022 Mass Shootings
9,Wildfires in California
10,Heat Waves
11,Prince Harry and Meghan Markle's life story
12,US Home Prices Potential Correction
13,"New movie ""DC League of Super-pets"""
14,Roe v. Wade & Abortion Rights
15,Mark Zuckerberg's Metaverse
16,Amazon's One Medical Deal
17,2022 NFL training camp
18,2022 MLB trade deadline
19,Number of kids celebrities have
20,Comedians joking about LGBTQ
21,Vince McMahon’s retirement and scandals
22,Jennifer Lopez and Ben Affleck's Wedding and Honeymoon
23,Prince William and Kate Middleton's life story
24,Air travel disruptions
25,Celebrity Alcohol Brands
26,Host Selection for ‘Jeopardy!’
27,TikToker made $200k selling farts in jars
28,WNBA star Brittney Griner in Russian custody